GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DO ETANOL HIDRATADO COMBUSTÍVEL AO CONSUMIDOR;ANO
Região Nordeste;Bahia;2,576;2015
Região Nordeste;Bahia;3,008166667;2016
Região Nordeste;Bahia;3,0235;2017
Região Nordeste;Bahia;3,389;2018
Região Nordeste;Bahia;3,442;2019
Região Nordeste;Bahia;3,332;2020
Região Nordeste;Bahia;4,779;2021
Região Sudeste;Minas Gerais;2,128;2012
Região Sudeste;Minas Gerais;2,09225;2013
Região Sudeste;Minas Gerais;2,197083333;2014
Região Sudeste;Minas Gerais;2,3165;2015
Região Sudeste;Minas Gerais;2,712416667;2016
Região Sudeste;Minas Gerais;2,753;2017
Região Sudeste;Minas Gerais;3,0555;2018
Região Sudeste;Minas Gerais;3,0035;2019
Região Sudeste;Minas Gerais;2,986181818;2020
Região Sudeste;Minas Gerais;4,409666667;2021
Região Sudeste;Espírito Santo;2,461;2012
Região Sudeste;Espírito Santo;2,485916667;2013
Região Sudeste;Espírito Santo;2,605416667;2014
Região Sudeste;Espírito Santo;2,795333333;2015
Região Sudeste;Espírito Santo;3,202083333;2016
Região Sudeste;Espírito Santo;3,335666667;2017
Região Sudeste;Espírito Santo;3,564416667;2018
Região Sudeste;Espírito Santo;3,59375;2019
Região Sudeste;Espírito Santo;3,585909091;2020
Região Sudeste;Espírito Santo;4,972833333;2021
Região Sudeste;Rio de Janeiro;2,234;2012
Região Sudeste;Rio de Janeiro;2,285666667;2013
Região Sudeste;Rio de Janeiro;2,454166667;2014
Região Sudeste;Rio de Janeiro;2,73225;2015
Região Sudeste;Rio de Janeiro;3,2405;2016
Região Sudeste;Rio de Janeiro;3,311833333;2017
Região Sudeste;Rio de Janeiro;3,532333333;2018
Região Sudeste;Rio de Janeiro;3,825916667;2019
Região Sudeste;Rio de Janeiro;3,890909091;2020
Região Sudeste;Rio de Janeiro;5,263333333;2021
Região Sudeste;São Paulo;1,806;2012
Região Sudeste;São Paulo;1,82975;2013
Região Sudeste;São Paulo;1,924166667;2014
Região Sudeste;São Paulo;2,100333333;2015
Região Sudeste;São Paulo;2,4845;2016
Região Sudeste;São Paulo;2,51475;2017
Região Sudeste;São Paulo;2,7145;2018
Região Sudeste;São Paulo;2,709833333;2019
Região Sudeste;São Paulo;2,767181818;2020
Região Sudeste;São Paulo;4,139416667;2021
Região Sul;Paraná;1,944;2012
Região Sul;Paraná;1,94725;2013
Região Sul;Paraná;2,040583333;2014
Região Sul;Paraná;2,254916667;2015
Região Sul;Paraná;2,697083333;2016
Região Sul;Paraná;2,754083333;2017
Região Sul;Paraná;2,947916667;2018
Região Sul;Paraná;2,928166667;2019
Região Sul;Paraná;2,970272727;2020
Região Sul;Paraná;4,37775;2021
Região Sul;Santa Catarina;2,384;2012
Região Sul;Santa Catarina;2,403833333;2013
Região Sul;Santa Catarina;2,493083333;2014
Região Sul;Santa Catarina;2,607916667;2015
Região Sul;Santa Catarina;3,118333333;2016
Região Sul;Santa Catarina;3,240166667;2017
Região Sul;Santa Catarina;3,4795;2018
Região Sul;Santa Catarina;3,552583333;2019
Região Sul;Santa Catarina;3,631;2020
Região Sul;Santa Catarina;5,0175;2021
Região Sul;Rio Grande do Sul;2,403;2012
Região Sul;Rio Grande do Sul;2,427416667;2013
Região Sul;Rio Grande do Sul;2,483583333;2014
Região Sul;Rio Grande do Sul;2,684583333;2015
Região Sul;Rio Grande do Sul;3,536916667;2016
Região Sul;Rio Grande do Sul;3,629166667;2017
Região Sul;Rio Grande do Sul;4,001833333;2018
Região Sul;Rio Grande do Sul;4,059166667;2019
Região Sul;Rio Grande do Sul;4,139909091;2020
Região Sul;Rio Grande do Sul;5,725666667;2021
Região Centro-Oeste;Mato Grosso do Sul;2,132;2012
Região Centro-Oeste;Mato Grosso do Sul;2,157833333;2013
Região Centro-Oeste;Mato Grosso do Sul;2,191583333;2014
Região Centro-Oeste;Mato Grosso do Sul;2,3685;2015
Região Centro-Oeste;Mato Grosso do Sul;2,838083333;2016
Região Centro-Oeste;Mato Grosso do Sul;3,0695;2017
Região Centro-Oeste;Mato Grosso do Sul;3,338916667;2018
Região Centro-Oeste;Mato Grosso do Sul;3,407416667;2019
Região Centro-Oeste;Mato Grosso do Sul;3,306363636;2020
Região Centro-Oeste;Mato Grosso do Sul;4,479333333;2021
Região Centro-Oeste;Mato Grosso;1,982;2012
Região Centro-Oeste;Mato Grosso;1,982083333;2013
Região Centro-Oeste;Mato Grosso;2,093416667;2014
Região Centro-Oeste;Mato Grosso;2,098833333;2015
Região Centro-Oeste;Mato Grosso;2,581666667;2016
Região Centro-Oeste;Mato Grosso;2,472083333;2017
Região Centro-Oeste;Mato Grosso;2,71775;2018
Região Centro-Oeste;Mato Grosso;2,607916667;2019
Região Centro-Oeste;Mato Grosso;2,840272727;2020
Região Centro-Oeste;Mato Grosso;4,16425;2021
Região Centro-Oeste;Goiás;1,897;2012
Região Centro-Oeste;Goiás;1,9535;2013
Região Centro-Oeste;Goiás;2,138;2014
Região Centro-Oeste;Goiás;2,2895;2015
Região Centro-Oeste;Goiás;2,77475;2016
Região Centro-Oeste;Goiás;2,78925;2017
Região Centro-Oeste;Goiás;2,93975;2018
Região Centro-Oeste;Goiás;2,979333333;2019
Região Centro-Oeste;Goiás;3,012272727;2020
Região Centro-Oeste;Goiás;4,407583333;2021
Região Centro-Oeste;Distrito Federal;2,264;2012
Região Centro-Oeste;Distrito Federal;2,27725;2013
Região Centro-Oeste;Distrito Federal;2,47775;2014
Região Centro-Oeste;Distrito Federal;2,75375;2015
Região Centro-Oeste;Distrito Federal;3,139;2016
Região Centro-Oeste;Distrito Federal;3,25025;2017
Região Centro-Oeste;Distrito Federal;3,415166667;2018
Região Centro-Oeste;Distrito Federal;3,239416667;2019
Região Centro-Oeste;Distrito Federal;3,255272727;2020
Região Centro-Oeste;Distrito Federal;4,949166667;2021
