RODADA DE LICITAÇÃO;ANO;TIPO DE DADO;VALOR DA VARIÁVEL
Rodada 16;2019;Área onshore concedida;-
Rodada 17;2021;Área onshore concedida;-
Rodada 1;1999;Área offshore concedida;54.660
Rodada 2;2000;Área offshore concedida;37.847
Rodada 3;2001;Área offshore concedida;46.266
Rodada 4;2002;Área offshore concedida;14.669
Rodada 5;2003;Área offshore concedida;21.254
Rodada 6;2004;Área offshore concedida;36.811
Rodada 7;2005;Área offshore concedida;7.735
Rodada 9;2007;Área offshore concedida;13.419
Rodada 10;2008;Área offshore concedida;-
Rodada 11;2013;Área offshore concedida;32.173
Rodada 12;2013;Área offshore concedida;-
Rodada 13;2015;Área offshore concedida;1.513
Rodada 14 ;2017;Área offshore concedida;8.153
Rodada 15;2018;Área offshore concedida;16.400
Rodada 16;2019;Área offshore concedida;11.762
Rodada 17;2021;Área offshore concedida;3.426
Rodada 1;1999;Área arrematada/área ofertada (%);41%
Rodada 2;2000;Área arrematada/área ofertada (%);81%
Rodada 3;2001;Área arrematada/área ofertada (%);54%
Rodada 4;2002;Área arrematada/área ofertada (%);18%
Rodada 5;2003;Área arrematada/área ofertada (%);14%
Rodada 6;2004;Área arrematada/área ofertada (%);20%
Rodada 7;2005;Área arrematada/área ofertada (%);49%
Rodada 9;2007;Área arrematada/área ofertada (%);62%
Rodada 10;2008;Área arrematada/área ofertada (%);68%
Rodada 11;2013;Área arrematada/área ofertada (%);64%
Rodada 12;2013;Área arrematada/área ofertada (%);29%
Rodada 13;2015;Área arrematada/área ofertada (%);28%
Rodada 14 ;2017;Área arrematada/área ofertada (%);20%
Rodada 15;2018;Área arrematada/área ofertada (%);17%
Rodada 16;2019;Área arrematada/área ofertada (%);40%
Rodada 17;2021;Área arrematada/área ofertada (%);6%
Rodada 1;1999;Área concedida/área ofertada (%);41%
Rodada 2;2000;Área concedida/área ofertada (%);81%
Rodada 3;2001;Área concedida/área ofertada (%);54%
Rodada 4;2002;Área concedida/área ofertada (%);18%
Rodada 5;2003;Área concedida/área ofertada (%);14%
Rodada 6;2004;Área concedida/área ofertada (%);20%
Rodada 7;2005;Área concedida/área ofertada (%);43%
Rodada 9;2007;Área concedida/área ofertada (%);62%
Rodada 10;2008;Área concedida/área ofertada (%);64%
Rodada 11;2013;Área concedida/área ofertada (%);39%
Rodada 12;2013;Área concedida/área ofertada (%);12%
Rodada 13;2015;Área concedida/área ofertada (%);27%
Rodada 14 ;2017;Área concedida/área ofertada (%);20%
Rodada 15;2018;Área concedida/área ofertada (%);17%
Rodada 16;2019;Área concedida/área ofertada (%);40%
Rodada 17;2021;Área concedida/área ofertada (%);6%
Rodada 1;1999;Empresas que manifestaram interesse;58
Rodada 2;2000;Empresas que manifestaram interesse;49
Rodada 3;2001;Empresas que manifestaram interesse;46
Rodada 4;2002;Empresas que manifestaram interesse;35
Rodada 5;2003;Empresas que manifestaram interesse;18
Rodada 6;2004;Empresas que manifestaram interesse;30
Rodada 7;2005;Empresas que manifestaram interesse;52
Rodada 9;2007;Empresas que manifestaram interesse;74
Rodada 10;2008;Empresas que manifestaram interesse;52
Rodada 11;2013;Empresas que manifestaram interesse;72
Rodada 12;2013;Empresas que manifestaram interesse;26
Rodada 13;2015;Empresas que manifestaram interesse;39
Rodada 14 ;2017;Empresas que manifestaram interesse;36
Rodada 15;2018;Empresas que manifestaram interesse;21
Rodada 16;2019;Empresas que manifestaram interesse;17
Rodada 17;2021;Empresas que manifestaram interesse;9
Rodada 1;1999;Empresas que pagaram a taxa de participação;42
Rodada 2;2000;Empresas que pagaram a taxa de participação;48
Rodada 3;2001;Empresas que pagaram a taxa de participação;44
Rodada 4;2002;Empresas que pagaram a taxa de participação;33
Rodada 5;2003;Empresas que pagaram a taxa de participação;14
Rodada 6;2004;Empresas que pagaram a taxa de participação;27
Rodada 7;2005;Empresas que pagaram a taxa de participação;45
Rodada 9;2007;Empresas que pagaram a taxa de participação;66
Rodada 10;2008;Empresas que pagaram a taxa de participação;43
Rodada 11;2013;Empresas que pagaram a taxa de participação;68
Rodada 12;2013;Empresas que pagaram a taxa de participação;25
Rodada 13;2015;Empresas que pagaram a taxa de participação;38
Rodada 14 ;2017;Empresas que pagaram a taxa de participação;33
Rodada 15;2018;Empresas que pagaram a taxa de participação;20
Rodada 16;2019;Empresas que pagaram a taxa de participação;17
Rodada 17;2021;Empresas que pagaram a taxa de participação;9
Rodada 1;1999;Empresas habilitadas1;38
Rodada 2;2000;Empresas habilitadas1;44
Rodada 3;2001;Empresas habilitadas1;42
Rodada 4;2002;Empresas habilitadas1;29
Rodada 5;2003;Empresas habilitadas1;12
Rodada 6;2004;Empresas habilitadas1;24
Rodada 7;2005;Empresas habilitadas1;44
Rodada 9;2007;Empresas habilitadas1;61
Rodada 10;2008;Empresas habilitadas1;40
Rodada 11;2013;Empresas habilitadas1;64
Rodada 12;2013;Empresas habilitadas1;21
Rodada 13;2015;Empresas habilitadas1;17
Rodada 14 ;2017;Empresas habilitadas1;32
Rodada 15;2018;Empresas habilitadas1;20
Rodada 16;2019;Empresas habilitadas1;17
Rodada 17;2021;Empresas habilitadas1;9
Rodada 1;1999;Empresas habilitadas nacionais;3
Rodada 2;2000;Empresas habilitadas nacionais;4
Rodada 3;2001;Empresas habilitadas nacionais;5
Rodada 4;2002;Empresas habilitadas nacionais;4
Rodada 5;2003;Empresas habilitadas nacionais;3
Rodada 6;2004;Empresas habilitadas nacionais;8
Rodada 7;2005;Empresas habilitadas nacionais;19
Rodada 9;2007;Empresas habilitadas nacionais;30
Rodada 10;2008;Empresas habilitadas nacionais;24
Rodada 11;2013;Empresas habilitadas nacionais;17
Rodada 12;2013;Empresas habilitadas nacionais;10
Rodada 13;2015;Empresas habilitadas nacionais;11
Rodada 14 ;2017;Empresas habilitadas nacionais;12
Rodada 15;2018;Empresas habilitadas nacionais;4
Rodada 16;2019;Empresas habilitadas nacionais;2
Rodada 17;2021;Empresas habilitadas nacionais;2
Rodada 1;1999;Empresas habilitadas estrangeiras;35
Rodada 2;2000;Empresas habilitadas estrangeiras;40
Rodada 3;2001;Empresas habilitadas estrangeiras;37
Rodada 4;2002;Empresas habilitadas estrangeiras;25
Rodada 5;2003;Empresas habilitadas estrangeiras;9
Rodada 6;2004;Empresas habilitadas estrangeiras;16
Rodada 7;2005;Empresas habilitadas estrangeiras;25
Rodada 9;2007;Empresas habilitadas estrangeiras;31
Rodada 10;2008;Empresas habilitadas estrangeiras;16
Rodada 11;2013;Empresas habilitadas estrangeiras;47
Rodada 12;2013;Empresas habilitadas estrangeiras;11
Rodada 13;2015;Empresas habilitadas estrangeiras;6
Rodada 14 ;2017;Empresas habilitadas estrangeiras;20
Rodada 15;2018;Empresas habilitadas estrangeiras;16
Rodada 16;2019;Empresas habilitadas estrangeiras;15
Rodada 17;2021;Empresas habilitadas estrangeiras;7
Rodada 1;1999;Empresas ofertantes;14
Rodada 2;2000;Empresas ofertantes;27
Rodada 3;2001;Empresas ofertantes;26
Rodada 4;2002;Empresas ofertantes;17
Rodada 5;2003;Empresas ofertantes;6
Rodada 6;2004;Empresas ofertantes;21
Rodada 7;2005;Empresas ofertantes;32
Rodada 9;2007;Empresas ofertantes;42
Rodada 10;2008;Empresas ofertantes;23
Rodada 11;2013;Empresas ofertantes;39
Rodada 12;2013;Empresas ofertantes;12
Rodada 13;2015;Empresas ofertantes;17
Rodada 14 ;2017;Empresas ofertantes;20
Rodada 15;2018;Empresas ofertantes;13
Rodada 16;2019;Empresas ofertantes;11
