REGIÃO REOGRÁFICA;PAÍS;PRODUTO;EXPORTAÇÃO DE DERIVADOS DE PETRÓLEO
Américas Central e do Sul;Comunidade dos Estados Independentes;Solvente;0
Américas Central e do Sul;Comunidade dos Estados Independentes;Coque;0
Américas Central e do Sul;Comunidade dos Estados Independentes;Lubrificante;0
Américas Central e do Sul;Comunidade dos Estados Independentes;Diesel;0
Américas Central e do Sul;Comunidade dos Estados Independentes;GLP;0
Américas Central e do Sul;Quirguistão;Óleo combustível;0
Américas Central e do Sul;Quirguistão;Gasolina A;0
Américas Central e do Sul;Quirguistão;Solvente;0
Américas Central e do Sul;Quirguistão;Coque;0
Américas Central e do Sul;Quirguistão;Lubrificante;0
Américas Central e do Sul;Quirguistão;Diesel;0
Américas Central e do Sul;Quirguistão;GLP;0
Américas Central e do Sul;Rússia;Óleo combustível;1,2
Américas Central e do Sul;Rússia;Gasolina A;0
Américas Central e do Sul;Rússia;Solvente;0
Américas Central e do Sul;Rússia;Coque;0
Américas Central e do Sul;Rússia;Lubrificante;0
Américas Central e do Sul;Rússia;Diesel;0
Américas Central e do Sul;Rússia;GLP;0
Américas Central e do Sul;Turcomenistão;Óleo combustível;0
Américas Central e do Sul;Turcomenistão;Gasolina A;0
Américas Central e do Sul;Turcomenistão;Solvente;0
Américas Central e do Sul;Turcomenistão;Coque;0
Américas Central e do Sul;Turcomenistão;Lubrificante;0
Américas Central e do Sul;Turcomenistão;Diesel;0
Américas Central e do Sul;Turcomenistão;GLP;0
Oriente Médio;Arábia Saudita;Óleo combustível;1,3
Oriente Médio;Arábia Saudita;Gasolina A;0
Oriente Médio;Arábia Saudita;Solvente;0
Oriente Médio;Arábia Saudita;Coque;17,6
Oriente Médio;Arábia Saudita;Lubrificante;0
Oriente Médio;Arábia Saudita;Diesel;0
Oriente Médio;Arábia Saudita;GLP;0
Oriente Médio;Barein;Óleo combustível;0
Oriente Médio;Barein;Gasolina A;0
Oriente Médio;Barein;Solvente;0
Oriente Médio;Barein;Coque;50,7
Oriente Médio;Barein;Lubrificante;0
Oriente Médio;Barein;Diesel;0
Oriente Médio;Barein;GLP;0
Oriente Médio;Emirados Árabes Unidos;Óleo combustível;0
Oriente Médio;Emirados Árabes Unidos;Gasolina A;0
Oriente Médio;Emirados Árabes Unidos;Solvente;0
Oriente Médio;Emirados Árabes Unidos;Coque;0,9
Oriente Médio;Emirados Árabes Unidos;Lubrificante;0,5
Oriente Médio;Emirados Árabes Unidos;Diesel;0
Oriente Médio;Emirados Árabes Unidos;GLP;0
Oriente Médio;Outros4;Óleo combustível;1,6
Oriente Médio;Outros4;Gasolina A;0
Oriente Médio;Outros4;Solvente;0
Oriente Médio;Outros4;Coque;0,6
Oriente Médio;Outros4;Lubrificante;0
Oriente Médio;Outros4;Diesel;0,4
Oriente Médio;Outros4;GLP;0
África;África do Sul;Óleo combustível;0
