GRANDES REGIÕES;UNIDADDES DA FEDERAÇÃO;VENDAS DE GASOLINA DE AVIAÇÃO PELAS DISTRIBUIDORAS;ANO
Região Sudeste;Rio de Janeiro;1017,836;2017
Região Sudeste;Rio de Janeiro;891,857;2018
Região Sudeste;Rio de Janeiro;992,297;2019
Região Sudeste;Rio de Janeiro;772,93;2020
Região Sudeste;Rio de Janeiro;1100,598;2021
Região Sudeste;São Paulo;17655;2012
Região Sudeste;São Paulo;15639,16594;2013
Região Sudeste;São Paulo;14295,25;2014
Região Sudeste;São Paulo;12406,54276;2015
Região Sudeste;São Paulo;10747,381;2016
Região Sudeste;São Paulo;9329,361;2017
Região Sudeste;São Paulo;8560,388;2018
Região Sudeste;São Paulo;8217,991;2019
Região Sudeste;São Paulo;6867,72;2020
Região Sudeste;São Paulo;7285,601;2021
Região Sul ;Paraná;6968;2012
Região Sul ;Paraná;6772,386795;2013
Região Sul ;Paraná;6896,219;2014
Região Sul ;Paraná;5074,720772;2015
Região Sul ;Paraná;4512,752;2016
Região Sul ;Paraná;4523,706;2017
Região Sul ;Paraná;4606,208;2018
Região Sul ;Paraná;4219,835;2019
Região Sul ;Paraná;3708,789;2020
Região Sul ;Paraná;3988,048;2021
Região Sul ;Santa Catarina ;1514;2012
Região Sul ;Santa Catarina ;1720,472239;2013
Região Sul ;Santa Catarina ;1838,796;2014
Região Sul ;Santa Catarina ;1502,570666;2015
Região Sul ;Santa Catarina ;1546,003;2016
Região Sul ;Santa Catarina ;1577,728;2017
Região Sul ;Santa Catarina ;1633,575;2018
Região Sul ;Santa Catarina ;1470,489;2019
Região Sul ;Santa Catarina ;1435,999;2020
Região Sul ;Santa Catarina ;1838,709;2021
Região Sul ;Rio Grande do Sul ;7463;2012
Região Sul ;Rio Grande do Sul ;9588,816496;2013
Região Sul ;Rio Grande do Sul ;8830,965;2014
Região Sul ;Rio Grande do Sul ;7744,757165;2015
Região Sul ;Rio Grande do Sul ;6458,064;2016
Região Sul ;Rio Grande do Sul ;5500,059;2017
Região Sul ;Rio Grande do Sul ;5024,873;2018
Região Sul ;Rio Grande do Sul ;4089,352;2019
Região Sul ;Rio Grande do Sul ;3218,428;2020
Região Sul ;Rio Grande do Sul ;3359,684;2021
Região Centro-Oeste ;Mato Grosso do Sul;3237;2012
Região Centro-Oeste ;Mato Grosso do Sul;3667,818991;2013
Região Centro-Oeste ;Mato Grosso do Sul;3917,028;2014
Região Centro-Oeste ;Mato Grosso do Sul;3741,963486;2015
