BENEFICIÁRIO;ANO;DISTRIBUIÇÃO DA PARTICIPAÇÃO ESPECIAL SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Município de Itaguaí-RJ;2019;0
Município de Itaguaí-RJ;2020;0
Município de Itaguaí-RJ;2021;0
Município de Itapemirim-ES;2012;83520
Município de Itapemirim-ES;2013;66149,53479
Município de Itapemirim-ES;2014;77599,99086
Município de Itapemirim-ES;2015;62159,41844
Município de Itapemirim-ES;2016;43625,83991
Município de Itapemirim-ES;2017;71401,04759
Município de Itapemirim-ES;2018;109141,0962
Município de Itapemirim-ES;2019;167719,4502
Município de Itapemirim-ES;2020;80523,91412
Município de Itapemirim-ES;2021;115820,292
Município de Jaguaré-ES;2012;0
Município de Jaguaré-ES;2013;0
Município de Jaguaré-ES;2014;0
Município de Jaguaré-ES;2015;0
Município de Jaguaré-ES;2016;0
Município de Jaguaré-ES;2017;0
Município de Jaguaré-ES;2018;0
Município de Jaguaré-ES;2019;0
Município de Jaguaré-ES;2020;0
Município de Jaguaré-ES;2021;33,60658
Município de Japaratuba-SE;2012;1599
Município de Japaratuba-SE;2013;1381,33701
Município de Japaratuba-SE;2014;1471,97907
Município de Japaratuba-SE;2015;126,00937
Município de Japaratuba-SE;2016;7,40642
Município de Japaratuba-SE;2017;5,50755
Município de Japaratuba-SE;2018;0
Município de Japaratuba-SE;2019;0
Município de Japaratuba-SE;2020;0
Município de Japaratuba-SE;2021;49,55566
Município de Linhares-ES;2012;0
Município de Linhares-ES;2013;0
Município de Linhares-ES;2014;0
Município de Linhares-ES;2015;0
Município de Linhares-ES;2016;0
Município de Linhares-ES;2017;0
Município de Linhares-ES;2018;0
Município de Linhares-ES;2019;0
Município de Linhares-ES;2020;0
Município de Linhares-ES;2021;0,65955
Município de Macaé-RJ;2012;65667
Município de Macaé-RJ;2013;50718,38961
Município de Macaé-RJ;2014;56644,62702
Município de Macaé-RJ;2015;17910,95772
Município de Macaé-RJ;2016;2848,7122
Município de Macaé-RJ;2017;7004,21385
Município de Macaé-RJ;2018;23929,66414
Município de Macaé-RJ;2019;4073,94809
Município de Macaé-RJ;2020;690,48792
Município de Macaé-RJ;2021;19368,50007
Município de Macau-RN;2012;0
Município de Macau-RN;2013;0
Município de Macau-RN;2014;5,5479
Município de Macau-RN;2015;0
Município de Macau-RN;2016;0
Município de Macau-RN;2017;0
Município de Macau-RN;2018;0
Município de Macau-RN;2019;0
Município de Macau-RN;2020;0
Município de Macau-RN;2021;0
Município de Marataízes-ES;2012;17222
Município de Marataízes-ES;2013;12606,56109
Município de Marataízes-ES;2014;13897,14201
Município de Marataízes-ES;2015;13746,27869
Município de Marataízes-ES;2016;10846,35354
Município de Marataízes-ES;2017;14458,01048
Município de Marataízes-ES;2018;17827,64275
Município de Marataízes-ES;2019;165628,4166
Município de Marataízes-ES;2020;94148,00848
Município de Marataízes-ES;2021;135375,9755
Município de Marechal Deodoro-AL;2012;0
Município de Marechal Deodoro-AL;2013;0
Município de Marechal Deodoro-AL;2014;0
Município de Marechal Deodoro-AL;2015;0
Município de Marechal Deodoro-AL;2016;0
Município de Marechal Deodoro-AL;2017;0
Município de Marechal Deodoro-AL;2018;0
Município de Marechal Deodoro-AL;2019;0
Município de Marechal Deodoro-AL;2020;0
Município de Marechal Deodoro-AL;2021;2,0003
Município de Maricá-RJ;2012;16921
Município de Maricá-RJ;2013;43354,57505
Município de Maricá-RJ;2014;94601,03323
Município de Maricá-RJ;2015;131176,6821
Município de Maricá-RJ;2016;121827,5391
Município de Maricá-RJ;2017;443748,3269
Município de Maricá-RJ;2018;898776,4101
Município de Maricá-RJ;2019;967528,3755
Município de Maricá-RJ;2020;843068,0406
Município de Maricá-RJ;2021;1301143,187
Município de Maruim-SE;2012;30
Município de Maruim-SE;2013;36,24792
Município de Maruim-SE;2014;35,19411
Município de Maruim-SE;2015;3,39206
Município de Maruim-SE;2016;0
Município de Maruim-SE;2017;0
Município de Maruim-SE;2018;0
Município de Maruim-SE;2019;0
Município de Maruim-SE;2020;0
Município de Maruim-SE;2021;1,89164
Município de Mossoró-RN;2012;3283
Município de Mossoró-RN;2013;4303,25559
Município de Mossoró-RN;2014;4050,11036
Município de Mossoró-RN;2015;940,23618
Município de Mossoró-RN;2016;34,28527
Município de Mossoró-RN;2017;0
Município de Mossoró-RN;2018;0
Município de Mossoró-RN;2019;0
Município de Mossoró-RN;2020;0
Município de Mossoró-RN;2021;155,14431
Município de Niterói-RJ;2012;14896
Município de Niterói-RJ;2013;38166,15873
Município de Niterói-RJ;2014;83279,74721
Município de Niterói-RJ;2015;115478,2411
Município de Niterói-RJ;2016;138742,3933
Município de Niterói-RJ;2017;359146,3381
Município de Niterói-RJ;2018;791216,2232
Município de Niterói-RJ;2019;851037,9558
Município de Niterói-RJ;2020;740752,5895
Município de Niterói-RJ;2021;1143919,147
Município de Paraty-RJ;2012;604
Município de Paraty-RJ;2013;4237,05277
Município de Paraty-RJ;2014;7625,17948
Município de Paraty-RJ;2015;1046,40179
Município de Paraty-RJ;2016;0
Município de Paraty-RJ;2017;0
Município de Paraty-RJ;2018;5000,35161
Município de Paraty-RJ;2019;6339,76148
Município de Paraty-RJ;2020;0
Município de Paraty-RJ;2021;270,59052
Município de Peruíbe-SP;2012;0
